generation,seed10,seed100
0,0.1087335500802235,0.12397399524285299
1,0.10127642903600466,0.1854710468870268
2,0.09957183242172604,0.2404027087882037
3,0.09423744361628165,0.2686425031432239
4,0.09857930923717596,0.27674895356905993
5,0.10409624080341781,0.28041241948715223
6,0.10340395842727693,0.2842185019330741
7,0.10375308033855822,0.2909444899733341
8,0.10102204738718051,0.2946610721665117
9,0.10144622497230696,0.29956251794481814
10,0.28276957947373693,0.30332944791034155
11,0.3458134805678719,0.30496279733621406
12,0.34845975094286363,0.3074709877281963
13,0.354931115183806,0.30879952634989705
14,0.36256881037925726,0.3115175593249349
15,0.36450913992243517,0.31608046839794723
16,0.37251571064103434,0.321639210809325
17,0.37667618087942717,0.32248451948745016
18,0.3786466548095192,0.32312879460454297
19,0.3779314225411268,0.32507104588565855
20,0.3793508332266048,0.32823120672025824
21,0.3811912795896237,0.330208950943096
22,0.3839782408001659,0.33488953152591316
23,0.3867891743136278,0.33594086601800605
24,0.3874281495085839,0.3378233070760668
25,0.3890848325311169,0.34194906887452386
26,0.39008267332805785,0.3421487132674873
27,0.3927732509751099,0.3429593475232273
28,0.3931212727008408,0.34658437367650274
29,0.3944947203164093,0.34770406961734296
30,0.3957177412860682,0.3523192014944409
31,0.3961784282800031,0.35009520207459055
32,0.39641577288872554,0.3495483643825714
33,0.39754113631086035,0.3521187349364041
34,0.39726528408988593,0.3549410901387127
35,0.3978787211352773,0.35564858890017476
36,0.3979729598657758,0.35854974852128507
37,0.3980748339972647,0.3601535866734531
38,0.39838882683582294,0.36471950677506926
39,0.39749997649844376,0.36647035060940203
40,0.39793806934042725,0.3680300787182701
41,0.3990767337560803,0.369492009658821
42,0.3999113317645165,0.36995433629872676
43,0.4002576830760603,0.3710816438109773
44,0.40038787345418425,0.371678485763192
45,0.3989838560954098,0.3726554057315976
46,0.3976737004227814,0.3749281480307629
47,0.3964925027744392,0.3758107781766745
48,0.39510991652469796,0.3784071782850827
49,0.39482700859169656,0.3814942031945219
50,0.39509544155460835,0.3834015925337488
